NetCode,site_no,NetName
"ANL","345035091502801","Arkansas northern Lonoke County Groundwater Network"
"ANL","345057091525601","Arkansas northern Lonoke County Groundwater Network"
"ANL","345125091533301","Arkansas northern Lonoke County Groundwater Network"
"ANL","345129091455801","Arkansas northern Lonoke County Groundwater Network"
"ANL","345147091533301","Arkansas northern Lonoke County Groundwater Network"
"ANL","345152091502401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345152091502402","Arkansas northern Lonoke County Groundwater Network"
"ANL","345205091502401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345205091502402","Arkansas northern Lonoke County Groundwater Network"
"ANL","345402091502201","Arkansas northern Lonoke County Groundwater Network"
"ANL","345407091463801","Arkansas northern Lonoke County Groundwater Network"
"ANL","345413091493401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345415091505301","Arkansas northern Lonoke County Groundwater Network"
"ANL","345427091524801","Arkansas northern Lonoke County Groundwater Network"
"ANL","345430091512301","Arkansas northern Lonoke County Groundwater Network"
"ANL","345519091505401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345541091491401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345547091514101","Arkansas northern Lonoke County Groundwater Network"
"ANL","345548091512501","Arkansas northern Lonoke County Groundwater Network"
"ANL","345553091512501","Arkansas northern Lonoke County Groundwater Network"
"ANL","345559091514101","Arkansas northern Lonoke County Groundwater Network"
"ANL","345614091522501","Arkansas northern Lonoke County Groundwater Network"
"ANL","345618091521201","Arkansas northern Lonoke County Groundwater Network"
"ANL","345709091460701","Arkansas northern Lonoke County Groundwater Network"
"ANL","345753091543201","Arkansas northern Lonoke County Groundwater Network"
"ANL","345757091515401","Arkansas northern Lonoke County Groundwater Network"
