NetCode,site_no,NetName
"ASR","324417092090001","Arkansas Sparta Recovery Groundwater Network"
"ASR","324626091543901","Arkansas Sparta Recovery Groundwater Network"
"ASR","324707093025001","Arkansas Sparta Recovery Groundwater Network"
"ASR","325647092241501","Arkansas Sparta Recovery Groundwater Network"
"ASR","330002092445901","Arkansas Sparta Recovery Groundwater Network"
"ASR","330558093115601","Arkansas Sparta Recovery Groundwater Network"
"ASR","330651092212001","Arkansas Sparta Recovery Groundwater Network"
"ASR","330855092505601","Arkansas Sparta Recovery Groundwater Network"
"ASR","331104092380201","Arkansas Sparta Recovery Groundwater Network"
"ASR","331144092410601","Arkansas Sparta Recovery Groundwater Network"
"ASR","331256092483702","Arkansas Sparta Recovery Groundwater Network"
"ASR","331346092391101","Arkansas Sparta Recovery Groundwater Network"
"ASR","331354092322401","Arkansas Sparta Recovery Groundwater Network"
"ASR","331438092411901","Arkansas Sparta Recovery Groundwater Network"
"ASR","331609093144902","Arkansas Sparta Recovery Groundwater Network"
"ASR","332142092162101","Arkansas Sparta Recovery Groundwater Network"
"ASR","332205092433001","Arkansas Sparta Recovery Groundwater Network"
"ASR","332437093043102","Arkansas Sparta Recovery Groundwater Network"
"ASR","333234092525201","Arkansas Sparta Recovery Groundwater Network"
