NetCode,site_no,NetName
"BCN","413522070373601","Barnstable County Network"
"BCN","413525070291901","Barnstable County Network"
"BCN","413525070291904","Barnstable County Network"
"BCN","413631070331801","Barnstable County Network"
"BCN","413730070230201","Barnstable County Network"
"BCN","413801070322703","Barnstable County Network"
"BCN","413930070190901","Barnstable County Network"
"BCN","413958070214701","Barnstable County Network"
"BCN","413958070281801","Barnstable County Network"
"BCN","414051070130301","Barnstable County Network"
"BCN","414059070153301","Barnstable County Network"
"BCN","414100070011101","Barnstable County Network"
"BCN","414124070265901","Barnstable County Network"
"BCN","414124070311401","Barnstable County Network"
"BCN","414129070361401","Barnstable County Network"
"BCN","414139070311501","Barnstable County Network"
"BCN","414154070165001","Barnstable County Network"
"BCN","414159070310501","Barnstable County Network"
"BCN","414210070090901","Barnstable County Network"
"BCN","414219070131101","Barnstable County Network"
"BCN","414219070313601","Barnstable County Network"
"BCN","414337070292501","Barnstable County Network"
"BCN","414400070242901","Barnstable County Network"
"BCN","414402070083901","Barnstable County Network"
"BCN","414405070312104","Barnstable County Network"
"BCN","414411070272501","Barnstable County Network"
"BCN","414435070062201","Barnstable County Network"
"BCN","414518070020301","Barnstable County Network"
"BCN","414523070311901","Barnstable County Network"
"BCN","414630070014901","Barnstable County Network"
"BCN","414726069581601","Barnstable County Network"
"BCN","415125069581501","Barnstable County Network"
"BCN","415353069585401","Barnstable County Network"
"BCN","415722070010001","Barnstable County Network"
"BCN","415732070000401","Barnstable County Network"
"BCN","420051070024805","Barnstable County Network"
"BCN","420206070045901","Barnstable County Network"
"BCN","420313070061901","Barnstable County Network"
"BCN","420355070112302","Barnstable County Network"
