NetCode,site_no,NetName
"GAD","312617084110701","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","312654084210102","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","312654084210103","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","312704084071601","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","312919084153801","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","312947084092201","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","312950084131801","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313000084100301","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313019084104601","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313019084104602","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313019084104603","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313038084122501","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313040084125901","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313105084064202","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313105084064301","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313105084064302","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313130084101001","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313247084005001","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313450084091801","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313521084051001","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313530084203202","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313532084203501","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313534084103001","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313534084103002","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313534084103003","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313554084062501","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313625084041501","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313808084093601","Georgia Albany Dougherty County Groundwater Level Network"
"GAD","313812084125001","Georgia Albany Dougherty County Groundwater Level Network"
