NetCode,site_no,NetName
"GBG","310418081244701","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310810081292801","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310810081292802","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310810081323501","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310818081293701","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310818081294201","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310822081294201","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310835081294501","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310835081294502","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310901081284401","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310901081284402","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310902081284201","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310925081312201","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310925081312202","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310925081312203","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310931081291002","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","310938081285301","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311007081301701","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311007081301702","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311022081304601","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311022081304602","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311028081285902","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311051081295501","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311454081210503","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311456081210501","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311456081210503","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311456081210504","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311530081363901","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311530081363904","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311633081324001","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311711081283002","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311711081283003","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311909081281101","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311909081281102","Georgia Brunswick Glynn County Groundwater Level Network"
"GBG","311909081281103","Georgia Brunswick Glynn County Groundwater Level Network"
