NetCode,site_no,NetName
"IDN","380626087344401","Indiana Department of Natural Resources Groundwater Network"
"IDN","380758087551001","Indiana Department of Natural Resources Groundwater Network"
"IDN","382156085382401","Indiana Department of Natural Resources Groundwater Network"
"IDN","382323086044501","Indiana Department of Natural Resources Groundwater Network"
"IDN","383247087361001","Indiana Department of Natural Resources Groundwater Network"
"IDN","383659086545901","Indiana Department of Natural Resources Groundwater Network"
"IDN","384949085251901","Indiana Department of Natural Resources Groundwater Network"
"IDN","384951087202501","Indiana Department of Natural Resources Groundwater Network"
"IDN","391627085534401","Indiana Department of Natural Resources Groundwater Network"
"IDN","392022085371801","Indiana Department of Natural Resources Groundwater Network"
"IDN","392820087242601","Indiana Department of Natural Resources Groundwater Network"
"IDN","393423086161001","Indiana Department of Natural Resources Groundwater Network"
"IDN","393619087043001","Indiana Department of Natural Resources Groundwater Network"
"IDN","393943085490901","Indiana Department of Natural Resources Groundwater Network"
"IDN","394426085080601","Indiana Department of Natural Resources Groundwater Network"
"IDN","394632086092701","Indiana Department of Natural Resources Groundwater Network"
"IDN","400000086023201","Indiana Department of Natural Resources Groundwater Network"
"IDN","400247086482101","Indiana Department of Natural Resources Groundwater Network"
"IDN","400532086183901","Indiana Department of Natural Resources Groundwater Network"
"IDN","400541085213701","Indiana Department of Natural Resources Groundwater Network"
"IDN","401532085085301","Indiana Department of Natural Resources Groundwater Network"
"IDN","402322085481901","Indiana Department of Natural Resources Groundwater Network"
"IDN","402734087033402","Indiana Department of Natural Resources Groundwater Network"
"IDN","402851087213501","Indiana Department of Natural Resources Groundwater Network"
"IDN","403407086175701","Indiana Department of Natural Resources Groundwater Network"
"IDN","403836085374401","Indiana Department of Natural Resources Groundwater Network"
"IDN","404331085064701","Indiana Department of Natural Resources Groundwater Network"
"IDN","405829086175801","Indiana Department of Natural Resources Groundwater Network"
"IDN","405902087141501","Indiana Department of Natural Resources Groundwater Network"
"IDN","410337085264201","Indiana Department of Natural Resources Groundwater Network"
"IDN","410428087231501","Indiana Department of Natural Resources Groundwater Network"
"IDN","410739086365201","Indiana Department of Natural Resources Groundwater Network"
"IDN","412350086512801","Indiana Department of Natural Resources Groundwater Network"
"IDN","413121085481301","Indiana Department of Natural Resources Groundwater Network"
"IDN","413559087270301","Indiana Department of Natural Resources Groundwater Network"
"IDN","414318085200601","Indiana Department of Natural Resources Groundwater Network"
