NetCode,site_no,NetName
"ISJ","413354086085101","St. Joseph County, Indiana Groundwater Network"
"ISJ","413629086074401","St. Joseph County, Indiana Groundwater Network"
"ISJ","413748086044701","St. Joseph County, Indiana Groundwater Network"
"ISJ","413748086064801","St. Joseph County, Indiana Groundwater Network"
"ISJ","413801086151801","St. Joseph County, Indiana Groundwater Network"
"ISJ","413801086151802","St. Joseph County, Indiana Groundwater Network"
"ISJ","413801086151803","St. Joseph County, Indiana Groundwater Network"
"ISJ","413816086091001","St. Joseph County, Indiana Groundwater Network"
"ISJ","413818086150501","St. Joseph County, Indiana Groundwater Network"
"ISJ","413818086150502","St. Joseph County, Indiana Groundwater Network"
"ISJ","413818086150503","St. Joseph County, Indiana Groundwater Network"
"ISJ","413912086074401","St. Joseph County, Indiana Groundwater Network"
"ISJ","413919086044801","St. Joseph County, Indiana Groundwater Network"
"ISJ","413930086141501","St. Joseph County, Indiana Groundwater Network"
"ISJ","414003086125701","St. Joseph County, Indiana Groundwater Network"
"ISJ","414027086102901","St. Joseph County, Indiana Groundwater Network"
"ISJ","414105086050001","St. Joseph County, Indiana Groundwater Network"
"ISJ","414105086050002","St. Joseph County, Indiana Groundwater Network"
"ISJ","414105086050003","St. Joseph County, Indiana Groundwater Network"
"ISJ","414110086114801","St. Joseph County, Indiana Groundwater Network"
"ISJ","414110086114802","St. Joseph County, Indiana Groundwater Network"
"ISJ","414110086114803","St. Joseph County, Indiana Groundwater Network"
"ISJ","414116086083401","St. Joseph County, Indiana Groundwater Network"
"ISJ","414125086120001","St. Joseph County, Indiana Groundwater Network"
"ISJ","414147086071301","St. Joseph County, Indiana Groundwater Network"
"ISJ","414149086183101","St. Joseph County, Indiana Groundwater Network"
"ISJ","414202086035001","St. Joseph County, Indiana Groundwater Network"
"ISJ","414202086035002","St. Joseph County, Indiana Groundwater Network"
"ISJ","414224086124901","St. Joseph County, Indiana Groundwater Network"
"ISJ","414224086124902","St. Joseph County, Indiana Groundwater Network"
"ISJ","414231086084101","St. Joseph County, Indiana Groundwater Network"
"ISJ","414231086084102","St. Joseph County, Indiana Groundwater Network"
"ISJ","414231086103201","St. Joseph County, Indiana Groundwater Network"
"ISJ","414231086103202","St. Joseph County, Indiana Groundwater Network"
"ISJ","414235086075001","St. Joseph County, Indiana Groundwater Network"
"ISJ","414236086140201","St. Joseph County, Indiana Groundwater Network"
"ISJ","414313086054501","St. Joseph County, Indiana Groundwater Network"
"ISJ","414313086054502","St. Joseph County, Indiana Groundwater Network"
"ISJ","414326086103601","St. Joseph County, Indiana Groundwater Network"
"ISJ","414326086103602","St. Joseph County, Indiana Groundwater Network"
"ISJ","414327086041901","St. Joseph County, Indiana Groundwater Network"
"ISJ","414327086041902","St. Joseph County, Indiana Groundwater Network"
"ISJ","414328086064503","St. Joseph County, Indiana Groundwater Network"
"ISJ","414328086064504","St. Joseph County, Indiana Groundwater Network"
"ISJ","414338086040001","St. Joseph County, Indiana Groundwater Network"
"ISJ","414351086190601","St. Joseph County, Indiana Groundwater Network"
"ISJ","414351086190602","St. Joseph County, Indiana Groundwater Network"
"ISJ","414351086190603","St. Joseph County, Indiana Groundwater Network"
"ISJ","414401086085601","St. Joseph County, Indiana Groundwater Network"
"ISJ","414403086190301","St. Joseph County, Indiana Groundwater Network"
"ISJ","414405086045701","St. Joseph County, Indiana Groundwater Network"
"ISJ","414405086045702","St. Joseph County, Indiana Groundwater Network"
"ISJ","414413086160401","St. Joseph County, Indiana Groundwater Network"
"ISJ","414413086160402","St. Joseph County, Indiana Groundwater Network"
"ISJ","414438086082101","St. Joseph County, Indiana Groundwater Network"
"ISJ","414511086104102","St. Joseph County, Indiana Groundwater Network"
"ISJ","414515086052901","St. Joseph County, Indiana Groundwater Network"
"ISJ","414515086052902","St. Joseph County, Indiana Groundwater Network"
"ISJ","414515086052903","St. Joseph County, Indiana Groundwater Network"
"ISJ","414515086130701","St. Joseph County, Indiana Groundwater Network"
"ISJ","414515086130702","St. Joseph County, Indiana Groundwater Network"
"ISJ","414537086155701","St. Joseph County, Indiana Groundwater Network"
