NetCode,site_no,NetName
"LCC","302405091021903","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302428091035002","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302428091035003","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302456091130202","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302501091052601","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302505091132001","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302509091082702","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302509091082703","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302511091070401","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302527090594301","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302535091090402","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302543091015001","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302550091124101","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302602091002501","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302605091100901","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302614091083001","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302636091083802","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302642091083401","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302652091121401","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302652091121402","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302653091095701","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302702091185101","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302703091133703","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302711091111501","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302721091051401","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302729091100601","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302732091121901","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302745091092401","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302750091111001","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302751091093204","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302806091172601","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302806091172602","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302844091033601","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302853091150201","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302919091020501","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302930091101501","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302930091111301","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302932091101901","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302932091101902","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302932091101903","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302955091060501","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302955091060601","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302958091124801","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","302958091124802","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303001091093801","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303018091075602","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303034091002301","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303132091103201","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303250091365001","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303350091100901","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303356091095301","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303357091330401","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303402091325501","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303408091075001","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303440090592702","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303440090592703","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303441091074201","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303544091232501","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303553091152701","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303556091234001","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303853091165801","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303903091164901","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303905090583301","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","303912091150801","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","304055091135501","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","304704091223801","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","304844091204101","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","304933091224201","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","304939091422101","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","304958091191801","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","305023091393901","Louisiana Capital Area Groundwater Conservation Commission Level Network"
"LCC","305023091393902","Louisiana Capital Area Groundwater Conservation Commission Level Network"
