NetCode,site_no,NetName
"LNR","293845092264901","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","294615093004201","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","294749091402301","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","295031092203202","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","295314091312101","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","295345092100702","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","295747090242501","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300035091443301","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300117092005601","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300236092543501","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300349089562401","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300349090303401","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300534092564401","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300557093250401","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300634093400401","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300643093044701","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300702093165801","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300822093321201","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","300825093260801","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","301059093125101","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","301143090260101","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","301218090532301","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","301304091424002","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","301308091521001","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","301330092023401","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","301336093183001","Louisiana Department of Natural Resources Groundwater Level Network"
"LNR","301336093183002","Louisiana Department of Natural Resources Groundwater Level Network"
