NetCode,site_no,NetName
"MAL","345819089514201","Memphis Area Groundwater-Level Network"
"MAL","350002090054400","Memphis Area Groundwater-Level Network"
"MAL","350124090072200","Memphis Area Groundwater-Level Network"
"MAL","350124090072202","Memphis Area Groundwater-Level Network"
"MAL","350125090072201","Memphis Area Groundwater-Level Network"
"MAL","350207089511000","Memphis Area Groundwater-Level Network"
"MAL","350234089515602","Memphis Area Groundwater-Level Network"
"MAL","350344090130000","Memphis Area Groundwater-Level Network"
"MAL","350406089444401","Memphis Area Groundwater-Level Network"
"MAL","350432090015101","Memphis Area Groundwater-Level Network"
"MAL","350506089483101","Memphis Area Groundwater-Level Network"
"MAL","350508090015001","Memphis Area Groundwater-Level Network"
"MAL","350514089553700","Memphis Area Groundwater-Level Network"
"MAL","350658089560100","Memphis Area Groundwater-Level Network"
"MAL","350724089555600","Memphis Area Groundwater-Level Network"
"MAL","350735089593300","Memphis Area Groundwater-Level Network"
"MAL","350810089430801","Memphis Area Groundwater-Level Network"
"MAL","350810089430802","Memphis Area Groundwater-Level Network"
"MAL","350811089430901","Memphis Area Groundwater-Level Network"
"MAL","350857089591401","Memphis Area Groundwater-Level Network"
"MAL","350900089482300","Memphis Area Groundwater-Level Network"
"MAL","350910090015102","Memphis Area Groundwater-Level Network"
"MAL","350913090010302","Memphis Area Groundwater-Level Network"
"MAL","350914090010601","Memphis Area Groundwater-Level Network"
"MAL","350921090015300","Memphis Area Groundwater-Level Network"
"MAL","350925089595200","Memphis Area Groundwater-Level Network"
"MAL","351100089523600","Memphis Area Groundwater-Level Network"
"MAL","351111089512501","Memphis Area Groundwater-Level Network"
"MAL","351112089512501","Memphis Area Groundwater-Level Network"
"MAL","351126089513000","Memphis Area Groundwater-Level Network"
"MAL","351320089535800","Memphis Area Groundwater-Level Network"
"MAL","351358089482701","Memphis Area Groundwater-Level Network"
"MAL","351430089573201","Memphis Area Groundwater-Level Network"
"MAL","351432089573101","Memphis Area Groundwater-Level Network"
"MAL","351435090005200","Memphis Area Groundwater-Level Network"
"MAL","351439089572301","Memphis Area Groundwater-Level Network"
"MAL","351447089421601","Memphis Area Groundwater-Level Network"
"MAL","351448089421700","Memphis Area Groundwater-Level Network"
"MAL","351749089394401","Memphis Area Groundwater-Level Network"
"MAL","351953089404400","Memphis Area Groundwater-Level Network"
"MAL","352112089571200","Memphis Area Groundwater-Level Network"
"MAL","352112089571300","Memphis Area Groundwater-Level Network"
"MAL","352226089330101","Memphis Area Groundwater-Level Network"
"MAL","352226089330102","Memphis Area Groundwater-Level Network"
"MAL","352341090213101","Memphis Area Groundwater-Level Network"
"MAL","353839089493500","Memphis Area Groundwater-Level Network"
