NetCode,site_no,NetName
"MBN","314723106420001","Mesilla Basin Observation Well Network, New Mexico"
"MBN","314810106513601","Mesilla Basin Observation Well Network, New Mexico"
"MBN","314817106325801","Mesilla Basin Observation Well Network, New Mexico"
"MBN","314817106325802","Mesilla Basin Observation Well Network, New Mexico"
"MBN","314914106530501","Mesilla Basin Observation Well Network, New Mexico"
"MBN","314918106464401","Mesilla Basin Observation Well Network, New Mexico"
"MBN","314920106343801","Mesilla Basin Observation Well Network, New Mexico"
"MBN","314932106493401","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315007106370201","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315013106362601","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315013106362602","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315046106403201","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315049106373601","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315101106410701","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315110106371701","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315110106371702","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315118106422601","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315124106410001","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315126106381801","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315144106394101","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315150106415801","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315152106371901","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315154106414401","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315204106381601","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315212106420901","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315238106392301","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315245106380601","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315245106380602","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315308106361001","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315318106384301","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315326106592501","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315326106592502","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315336106582801","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315349106585701","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315401106363701","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315453106374701","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315515106392801","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315535106543602","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315554106365701","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315556106363101","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315622106391705","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315627106363701","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315637106394801","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315639106380401","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315646106374401","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315646106374402","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315646106374403","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315646106374404","Mesilla Basin Observation Well Network, New Mexico"
"MBN","315656106350701","Mesilla Basin Observation Well Network, New Mexico"
