NetCode,site_no,NetName
"MBT","473358095061401","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473404095054101","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473405095060101","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473405095060201","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473411095062901","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473413095053701","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473413095053702","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473414095053601","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473416095052601","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473416095052801","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473416095060801","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095051801","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095051802","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095051803","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095051804","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095051805","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095052101","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095052601","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095052602","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095052701","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473417095052801","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095051703","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095052801","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095052802","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095052803","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095052901","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095055001","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095055601","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095055602","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095055603","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095055604","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473418095055605","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473419095052301","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473419095052302","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473419095052303","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473419095052401","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473419095052402","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473419095052502","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473419095052701","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473419095052801","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473419095062401","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473420095051601","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473420095052201","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473420095052301","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473420095052401","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473420095052402","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473420095052403","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473420095052406","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473420095052501","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473420095052701","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473421095052301","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473421095052303","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473421095052305","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473421095052401","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473421095052701","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473421095053001","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473422095051801","Minnesota Bemidji Toxics Oil Spill Research Site Network"
"MBT","473422095052201","Minnesota Bemidji Toxics Oil Spill Research Site Network"
