NetCode,site_no,NetName
"MPI","443620092370601","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443631092372001","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443650092375601","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443656092373901","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443658092381201","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443717092401901","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443722092390201","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443727092385801","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443741092394401","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443744092384401","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443744092391701","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443745092381301","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443745092390201","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443746092383001","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443747092380401","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443752092381501","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443753092400401","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443756092390901","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443808092384401","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443814092393901","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443814092395301","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443814092395302","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443829092411201","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443830092390701","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443832092394301","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443834092390301","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443836092390001","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443839092394001","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443839092394901","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443840092400301","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443843092404301","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443852092420901","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443901092410001","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443905092420201","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443911092415101","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443912092423501","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443914092422801","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443917092414301","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443920092412701","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443920092412702","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443920092412703","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443929092412001","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443930092422601","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443941092421801","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443944092421101","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","443946092420201","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","444003092425301","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","444008092423201","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","444009092424501","Minnesota Prairie Island Indian Community Water-Level Network"
"MPI","444026092433501","Minnesota Prairie Island Indian Community Water-Level Network"
