NetCode,site_no,NetName
"MUS","444424095312301","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444431095324101","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444443095305001","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444447095293501","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444447095294701","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444501095321401","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444510095322101","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444511095300901","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444522095303301","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444523095310301","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444524095310401","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444524095310501","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444533095310301","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444539095304601","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444544095305201","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444549095310401","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444601095313801","Minnesota Upper Sioux Community Groundwater Monitoring Network"
"MUS","444603095314201","Minnesota Upper Sioux Community Groundwater Monitoring Network"
