NetCode,site_no,NetName
"NCG","400155101521302","Nebraska Continuous Groundwater Level Network"
"NCG","400852101352701","Nebraska Continuous Groundwater Level Network"
"NCG","401703101394801","Nebraska Continuous Groundwater Level Network"
"NCG","402757101591201","Nebraska Continuous Groundwater Level Network"
"NCG","403235101395501","Nebraska Continuous Groundwater Level Network"
"NCG","403516101560601","Nebraska Continuous Groundwater Level Network"
"NCG","403954099152101","Nebraska Continuous Groundwater Level Network"
"NCG","404343099272901","Nebraska Continuous Groundwater Level Network"
"NCG","404513098181201","Nebraska Continuous Groundwater Level Network"
"NCG","404513098181202","Nebraska Continuous Groundwater Level Network"
"NCG","404519101170301","Nebraska Continuous Groundwater Level Network"
"NCG","404618098504401","Nebraska Continuous Groundwater Level Network"
"NCG","404620101433401","Nebraska Continuous Groundwater Level Network"
"NCG","404706101282201","Nebraska Continuous Groundwater Level Network"
"NCG","404717099460501","Nebraska Continuous Groundwater Level Network"
"NCG","404949099445701","Nebraska Continuous Groundwater Level Network"
"NCG","405014099591001","Nebraska Continuous Groundwater Level Network"
"NCG","405040098384503","Nebraska Continuous Groundwater Level Network"
"NCG","405118099514901","Nebraska Continuous Groundwater Level Network"
"NCG","405129099090201","Nebraska Continuous Groundwater Level Network"
"NCG","405137099085201","Nebraska Continuous Groundwater Level Network"
"NCG","405227098165601","Nebraska Continuous Groundwater Level Network"
"NCG","405315098304302","Nebraska Continuous Groundwater Level Network"
"NCG","405340097094503","Nebraska Continuous Groundwater Level Network"
"NCG","405435098432601","Nebraska Continuous Groundwater Level Network"
"NCG","405445100074001","Nebraska Continuous Groundwater Level Network"
"NCG","405503098441801","Nebraska Continuous Groundwater Level Network"
"NCG","405632098373501","Nebraska Continuous Groundwater Level Network"
"NCG","405738099504501","Nebraska Continuous Groundwater Level Network"
"NCG","405855098383001","Nebraska Continuous Groundwater Level Network"
"NCG","405855100073901","Nebraska Continuous Groundwater Level Network"
"NCG","410102098374201","Nebraska Continuous Groundwater Level Network"
"NCG","410154099394701","Nebraska Continuous Groundwater Level Network"
"NCG","410618098113401","Nebraska Continuous Groundwater Level Network"
"NCG","410943097575001","Nebraska Continuous Groundwater Level Network"
"NCG","411005096281502","Nebraska Continuous Groundwater Level Network"
"NCG","411736096170201","Nebraska Continuous Groundwater Level Network"
"NCG","411738097264301","Nebraska Continuous Groundwater Level Network"
"NCG","412336104022801","Nebraska Continuous Groundwater Level Network"
"NCG","412944103452701","Nebraska Continuous Groundwater Level Network"
"NCG","413130100531202","Nebraska Continuous Groundwater Level Network"
"NCG","413156098591201","Nebraska Continuous Groundwater Level Network"
"NCG","413216102520201","Nebraska Continuous Groundwater Level Network"
"NCG","413455102370701","Nebraska Continuous Groundwater Level Network"
"NCG","413813103334501","Nebraska Continuous Groundwater Level Network"
"NCG","413853103532102","Nebraska Continuous Groundwater Level Network"
"NCG","414107102233801","Nebraska Continuous Groundwater Level Network"
"NCG","414153103561402","Nebraska Continuous Groundwater Level Network"
"NCG","414607102263301","Nebraska Continuous Groundwater Level Network"
"NCG","415022096434301","Nebraska Continuous Groundwater Level Network"
"NCG","415118103020903","Nebraska Continuous Groundwater Level Network"
"NCG","415325103392801","Nebraska Continuous Groundwater Level Network"
"NCG","415559098005201","Nebraska Continuous Groundwater Level Network"
"NCG","415628103554901","Nebraska Continuous Groundwater Level Network"
"NCG","415654103420401","Nebraska Continuous Groundwater Level Network"
"NCG","420006102561201","Nebraska Continuous Groundwater Level Network"
"NCG","420204101200502","Nebraska Continuous Groundwater Level Network"
"NCG","420301103554802","Nebraska Continuous Groundwater Level Network"
"NCG","420757104024701","Nebraska Continuous Groundwater Level Network"
"NCG","421210098402001","Nebraska Continuous Groundwater Level Network"
"NCG","422150097402401","Nebraska Continuous Groundwater Level Network"
"NCG","422802097031601","Nebraska Continuous Groundwater Level Network"
"NCG","422849099521503","Nebraska Continuous Groundwater Level Network"
"NCG","423148098300601","Nebraska Continuous Groundwater Level Network"
"NCG","423730098560001","Nebraska Continuous Groundwater Level Network"
