NetCode,site_no,NetName
"NHV","424639071584301","New Hampshire and Vermont Groundwater Level Network"
"NHV","424654071583801","New Hampshire and Vermont Groundwater Level Network"
"NHV","424810073160401","New Hampshire and Vermont Groundwater Level Network"
"NHV","425406070592601","New Hampshire and Vermont Groundwater Level Network"
"NHV","425407070592801","New Hampshire and Vermont Groundwater Level Network"
"NHV","430212070505201","New Hampshire and Vermont Groundwater Level Network"
"NHV","430414070502301","New Hampshire and Vermont Groundwater Level Network"
"NHV","430523070510601","New Hampshire and Vermont Groundwater Level Network"
"NHV","430530070520201","New Hampshire and Vermont Groundwater Level Network"
"NHV","430608071120001","New Hampshire and Vermont Groundwater Level Network"
"NHV","430721071005001","New Hampshire and Vermont Groundwater Level Network"
"NHV","431033071340301","New Hampshire and Vermont Groundwater Level Network"
"NHV","431034071340501","New Hampshire and Vermont Groundwater Level Network"
"NHV","431120071284201","New Hampshire and Vermont Groundwater Level Network"
"NHV","431248071115501","New Hampshire and Vermont Groundwater Level Network"
"NHV","431540071452801","New Hampshire and Vermont Groundwater Level Network"
"NHV","431551072350601","New Hampshire and Vermont Groundwater Level Network"
"NHV","433240072242901","New Hampshire and Vermont Groundwater Level Network"
"NHV","433616072074001","New Hampshire and Vermont Groundwater Level Network"
"NHV","434217073010601","New Hampshire and Vermont Groundwater Level Network"
"NHV","435129072483301","New Hampshire and Vermont Groundwater Level Network"
"NHV","435343072151801","New Hampshire and Vermont Groundwater Level Network"
"NHV","435558071405820","New Hampshire and Vermont Groundwater Level Network"
"NHV","435606071420602","New Hampshire and Vermont Groundwater Level Network"
"NHV","435612071420703","New Hampshire and Vermont Groundwater Level Network"
"NHV","435614071420702","New Hampshire and Vermont Groundwater Level Network"
"NHV","435614071420705","New Hampshire and Vermont Groundwater Level Network"
"NHV","435630071412120","New Hampshire and Vermont Groundwater Level Network"
"NHV","435641071420420","New Hampshire and Vermont Groundwater Level Network"
"NHV","435642071415020","New Hampshire and Vermont Groundwater Level Network"
"NHV","435643071412120","New Hampshire and Vermont Groundwater Level Network"
"NHV","435645071420520","New Hampshire and Vermont Groundwater Level Network"
"NHV","435645071420601","New Hampshire and Vermont Groundwater Level Network"
"NHV","435648071420720","New Hampshire and Vermont Groundwater Level Network"
"NHV","435649071414120","New Hampshire and Vermont Groundwater Level Network"
"NHV","435652071415420","New Hampshire and Vermont Groundwater Level Network"
"NHV","440016073070901","New Hampshire and Vermont Groundwater Level Network"
"NHV","441215072483101","New Hampshire and Vermont Groundwater Level Network"
"NHV","442450071052301","New Hampshire and Vermont Groundwater Level Network"
"NHV","443405072323501","New Hampshire and Vermont Groundwater Level Network"
"NHV","443646073124901","New Hampshire and Vermont Groundwater Level Network"
"NHV","443952072114001","New Hampshire and Vermont Groundwater Level Network"
"NHV","444731071514701","New Hampshire and Vermont Groundwater Level Network"
"NHV","445603072422902","New Hampshire and Vermont Groundwater Level Network"
"NHV","445631071194801","New Hampshire and Vermont Groundwater Level Network"
"NHV","445632071194501","New Hampshire and Vermont Groundwater Level Network"
