NetCode,site_no,NetName
"NJN","385607074555201","New Jersey Groundwater Level Network"
"NJN","385616074580001","New Jersey Groundwater Level Network"
"NJN","385709074512801","New Jersey Groundwater Level Network"
"NJN","385748074553301","New Jersey Groundwater Level Network"
"NJN","385804074574201","New Jersey Groundwater Level Network"
"NJN","390002074541002","New Jersey Groundwater Level Network"
"NJN","390012074472001","New Jersey Groundwater Level Network"
"NJN","390058074542701","New Jersey Groundwater Level Network"
"NJN","390156074533401","New Jersey Groundwater Level Network"
"NJN","390211074505501","New Jersey Groundwater Level Network"
"NJN","390211074505502","New Jersey Groundwater Level Network"
"NJN","390422074544701","New Jersey Groundwater Level Network"
"NJN","390425074544601","New Jersey Groundwater Level Network"
"NJN","390608074483801","New Jersey Groundwater Level Network"
"NJN","391145074520401","New Jersey Groundwater Level Network"
"NJN","391621074435401","New Jersey Groundwater Level Network"
"NJN","391621074435501","New Jersey Groundwater Level Network"
"NJN","391827074371001","New Jersey Groundwater Level Network"
"NJN","391828075120902","New Jersey Groundwater Level Network"
"NJN","391830075120801","New Jersey Groundwater Level Network"
"NJN","392017074300201","New Jersey Groundwater Level Network"
"NJN","392032074300801","New Jersey Groundwater Level Network"
"NJN","392232074234401","New Jersey Groundwater Level Network"
"NJN","392232074234403","New Jersey Groundwater Level Network"
"NJN","392508075184601","New Jersey Groundwater Level Network"
"NJN","392512074521206","New Jersey Groundwater Level Network"
"NJN","392528075064101","New Jersey Groundwater Level Network"
"NJN","392640074372401","New Jersey Groundwater Level Network"
"NJN","392731075092401","New Jersey Groundwater Level Network"
"NJN","392732075092401","New Jersey Groundwater Level Network"
"NJN","392733075092401","New Jersey Groundwater Level Network"
"NJN","392754074270101","New Jersey Groundwater Level Network"
"NJN","392920074570001","New Jersey Groundwater Level Network"
"NJN","393055075083501","New Jersey Groundwater Level Network"
"NJN","393055075083502","New Jersey Groundwater Level Network"
"NJN","393115074191001","New Jersey Groundwater Level Network"
"NJN","393232074263901","New Jersey Groundwater Level Network"
"NJN","393232074263902","New Jersey Groundwater Level Network"
