NetCode,site_no,NetName
"PRB","380653080155301","Potomac River Basin"
"PRB","381132076551001","Potomac River Basin"
"PRB","382008080292801","Potomac River Basin"
"PRB","382150078424001","Potomac River Basin"
"PRB","382523078535501","Potomac River Basin"
"PRB","383423077245901","Potomac River Basin"
"PRB","384931077420301","Potomac River Basin"
"PRB","385253077042301","Potomac River Basin"
"PRB","385406076383901","Potomac River Basin"
"PRB","385607077381101","Potomac River Basin"
"PRB","385638077220101","Potomac River Basin"
"PRB","390151076561501","Potomac River Basin"
"PRB","390348078035501","Potomac River Basin"
"PRB","390434076573002","Potomac River Basin"
"PRB","390623077314201","Potomac River Basin"
"PRB","391314077224201","Potomac River Basin"
"PRB","391445076555101","Potomac River Basin"
"PRB","391542077423801","Potomac River Basin"
"PRB","392045076512501","Potomac River Basin"
"PRB","392259077052401","Potomac River Basin"
"PRB","392517077190401","Potomac River Basin"
"PRB","392725077582401","Potomac River Basin"
"PRB","393148079010601","Potomac River Basin"
"PRB","393402077434201","Potomac River Basin"
"PRB","393638078001301","Potomac River Basin"
"PRB","393733077274801","Potomac River Basin"
"PRB","393851077343001","Potomac River Basin"
"PRB","394008077005601","Potomac River Basin"
"PRB","394024078273401","Potomac River Basin"
"PRB","394352077134801","Potomac River Basin"
"PRB","394430077225001","Potomac River Basin"
"PRB","394449077114101","Potomac River Basin"
"PRB","394600077161601","Potomac River Basin"
"PRB","394740077171801","Potomac River Basin"
"PRB","394755078135001","Potomac River Basin"
"PRB","394809077150901","Potomac River Basin"
"PRB","394836077204301","Potomac River Basin"
"PRB","394856077082801","Potomac River Basin"
"PRB","394901077173601","Potomac River Basin"
"PRB","395004077153201","Potomac River Basin"
"PRB","395008077125401","Potomac River Basin"
"PRB","395052077212601","Potomac River Basin"
"PRB","395055077100401","Potomac River Basin"
"PRB","395230077183201","Potomac River Basin"
"PRB","395322077365301","Potomac River Basin"
"PRB","395644077204701","Potomac River Basin"
"PRB","395700077073901","Potomac River Basin"
"PRB","395846077040601","Potomac River Basin"
"PRB","395920079021501","Potomac River Basin"
"PRB","395931077074501","Potomac River Basin"
"PRB","400008079142801","Potomac River Basin"
"PRB","400209077183301","Potomac River Basin"
"PRB","400217078281901","Potomac River Basin"
