NetCode,site_no,NetName
"RTN","174303064484400","Real-Time Groundwater Level Network"
"RTN","175734066233300","Real-Time Groundwater Level Network"
"RTN","175858066100200","Real-Time Groundwater Level Network"
"RTN","175934066364800","Real-Time Groundwater Level Network"
"RTN","175947066130601","Real-Time Groundwater Level Network"
"RTN","180052066471000","Real-Time Groundwater Level Network"
"RTN","180057066311300","Real-Time Groundwater Level Network"
"RTN","180122066560300","Real-Time Groundwater Level Network"
"RTN","180559065280501","Real-Time Groundwater Level Network"
"RTN","181217065453000","Real-Time Groundwater Level Network"
"RTN","181301067081900","Real-Time Groundwater Level Network"
"RTN","181352066025300","Real-Time Groundwater Level Network"
"RTN","182038064550300","Real-Time Groundwater Level Network"
"RTN","182044064454900","Real-Time Groundwater Level Network"
"RTN","182133066342800","Real-Time Groundwater Level Network"
"RTN","182224065430300","Real-Time Groundwater Level Network"
"RTN","182515065594100","Real-Time Groundwater Level Network"
"RTN","182515066194000","Real-Time Groundwater Level Network"
"RTN","182549066304300","Real-Time Groundwater Level Network"
"RTN","182637066475900","Real-Time Groundwater Level Network"
"RTN","182639066385200","Real-Time Groundwater Level Network"
"RTN","190423155371501","Real-Time Groundwater Level Network"
"RTN","205405156305401","Real-Time Groundwater Level Network"
"RTN","205437156310501","Real-Time Groundwater Level Network"
"RTN","205705156312401","Real-Time Groundwater Level Network"
"RTN","210605157012001","Real-Time Groundwater Level Network"
"RTN","220126159261501","Real-Time Groundwater Level Network"
"RTN","251457080395802","Real-Time Groundwater Level Network"
"RTN","251922080340701","Real-Time Groundwater Level Network"
"RTN","252115080293701","Real-Time Groundwater Level Network"
"RTN","252312080320301","Real-Time Groundwater Level Network"
"RTN","252332080300501","Real-Time Groundwater Level Network"
"RTN","252425080320001","Real-Time Groundwater Level Network"
"RTN","252502080253901","Real-Time Groundwater Level Network"
"RTN","252506080300601","Real-Time Groundwater Level Network"
"RTN","252612080300701","Real-Time Groundwater Level Network"
"RTN","252619080310201","Real-Time Groundwater Level Network"
"RTN","252718080264901","Real-Time Groundwater Level Network"
"RTN","252820080505401","Real-Time Groundwater Level Network"
"RTN","252918080234201","Real-Time Groundwater Level Network"
"RTN","252928080332401","Real-Time Groundwater Level Network"
"RTN","253029080295601","Real-Time Groundwater Level Network"
"RTN","253335080213501","Real-Time Groundwater Level Network"
"RTN","253400080340401","Real-Time Groundwater Level Network"
"RTN","253413080225301","Real-Time Groundwater Level Network"
"RTN","253417080224301","Real-Time Groundwater Level Network"
"RTN","253419080223701","Real-Time Groundwater Level Network"
"RTN","253539080284101","Real-Time Groundwater Level Network"
"RTN","253539080320501","Real-Time Groundwater Level Network"
"RTN","253632080321101","Real-Time Groundwater Level Network"
"RTN","253640080264701","Real-Time Groundwater Level Network"
"RTN","253644081013001","Real-Time Groundwater Level Network"
"RTN","253708080304201","Real-Time Groundwater Level Network"
"RTN","253902080202501","Real-Time Groundwater Level Network"
"RTN","253937080304001","Real-Time Groundwater Level Network"
"RTN","253948080250701","Real-Time Groundwater Level Network"
"RTN","253952080321501","Real-Time Groundwater Level Network"
"RTN","254000080181002","Real-Time Groundwater Level Network"
"RTN","254000080460001","Real-Time Groundwater Level Network"
"RTN","254054080295401","Real-Time Groundwater Level Network"
"RTN","254112080294201","Real-Time Groundwater Level Network"
"RTN","254130080234501","Real-Time Groundwater Level Network"
"RTN","254152080282101","Real-Time Groundwater Level Network"
"RTN","254152080282601","Real-Time Groundwater Level Network"
"RTN","254153080213904","Real-Time Groundwater Level Network"
"RTN","254154080213702","Real-Time Groundwater Level Network"
"RTN","254154080213703","Real-Time Groundwater Level Network"
"RTN","254155080243501","Real-Time Groundwater Level Network"
"RTN","254155080243502","Real-Time Groundwater Level Network"
"RTN","254158080212204","Real-Time Groundwater Level Network"
"RTN","254158080294501","Real-Time Groundwater Level Network"
"RTN","254206080294701","Real-Time Groundwater Level Network"
"RTN","254207080300201","Real-Time Groundwater Level Network"
"RTN","254210080304801","Real-Time Groundwater Level Network"
"RTN","254215080201503","Real-Time Groundwater Level Network"
"RTN","254334080284401","Real-Time Groundwater Level Network"
"RTN","254344081095101","Real-Time Groundwater Level Network"
"RTN","254442080305201","Real-Time Groundwater Level Network"
"RTN","254445080295001","Real-Time Groundwater Level Network"
"RTN","254446080295501","Real-Time Groundwater Level Network"
"RTN","254500080360001","Real-Time Groundwater Level Network"
"RTN","254823080175201","Real-Time Groundwater Level Network"
"RTN","254834080171601","Real-Time Groundwater Level Network"
"RTN","255027080245501","Real-Time Groundwater Level Network"
"RTN","255035080255401","Real-Time Groundwater Level Network"
"RTN","255035080255402","Real-Time Groundwater Level Network"
"RTN","255036080270501","Real-Time Groundwater Level Network"
"RTN","255208080274001","Real-Time Groundwater Level Network"
"RTN","255358080260901","Real-Time Groundwater Level Network"
"RTN","255437080103201","Real-Time Groundwater Level Network"
"RTN","255526080143001","Real-Time Groundwater Level Network"
"RTN","255616080180301","Real-Time Groundwater Level Network"
"RTN","255709080223701","Real-Time Groundwater Level Network"
"RTN","260010080085001","Real-Time Groundwater Level Network"
"RTN","260111081243901","Real-Time Groundwater Level Network"
"RTN","260405081414101","Real-Time Groundwater Level Network"
"RTN","260458080134801","Real-Time Groundwater Level Network"
"RTN","261501080060701","Real-Time Groundwater Level Network"
"RTN","261620081464402","Real-Time Groundwater Level Network"
"RTN","261641080064801","Real-Time Groundwater Level Network"
"RTN","261903080065601","Real-Time Groundwater Level Network"
"RTN","261957081432201","Real-Time Groundwater Level Network"
"RTN","261957081432202","Real-Time Groundwater Level Network"
"RTN","262022081464201","Real-Time Groundwater Level Network"
"RTN","262228081361901","Real-Time Groundwater Level Network"
"RTN","262317080074601","Real-Time Groundwater Level Network"
"RTN","262724081260701","Real-Time Groundwater Level Network"
"RTN","263041081433102","Real-Time Groundwater Level Network"
"RTN","263041081433103","Real-Time Groundwater Level Network"
"RTN","263323081522401","Real-Time Groundwater Level Network"
"RTN","263335081394301","Real-Time Groundwater Level Network"
"RTN","263344081361703","Real-Time Groundwater Level Network"
"RTN","263440082022001","Real-Time Groundwater Level Network"
"RTN","263532081592201","Real-Time Groundwater Level Network"
"RTN","264053081572501","Real-Time Groundwater Level Network"
"RTN","265633080203001","Real-Time Groundwater Level Network"
"RTN","265812080053901","Real-Time Groundwater Level Network"
"RTN","270137082235301","Real-Time Groundwater Level Network"
"RTN","270157081203101","Real-Time Groundwater Level Network"
"RTN","270835080105801","Real-Time Groundwater Level Network"
"RTN","271538082002301","Real-Time Groundwater Level Network"
"RTN","271619082240201","Real-Time Groundwater Level Network"
"RTN","271832082064801","Real-Time Groundwater Level Network"
"RTN","272012081482501","Real-Time Groundwater Level Network"
"RTN","272020082194801","Real-Time Groundwater Level Network"
"RTN","272058082143701","Real-Time Groundwater Level Network"
"RTN","272127082323801","Real-Time Groundwater Level Network"
"RTN","272129082330202","Real-Time Groundwater Level Network"
"RTN","272356082181302","Real-Time Groundwater Level Network"
"RTN","272404082161701","Real-Time Groundwater Level Network"
"RTN","272427080240201","Real-Time Groundwater Level Network"
"RTN","272504081120101","Real-Time Groundwater Level Network"
"RTN","272838082142201","Real-Time Groundwater Level Network"
"RTN","273718082315501","Real-Time Groundwater Level Network"
"RTN","274812081190301","Real-Time Groundwater Level Network"
"RTN","275815082440401","Real-Time Groundwater Level Network"
"RTN","275852081030501","Real-Time Groundwater Level Network"
"RTN","281448082301801","Real-Time Groundwater Level Network"
"RTN","281558082264601","Real-Time Groundwater Level Network"
"RTN","281714081093001","Real-Time Groundwater Level Network"
"RTN","282202081384601","Real-Time Groundwater Level Network"
"RTN","282202081384602","Real-Time Groundwater Level Network"
"RTN","282341081040101","Real-Time Groundwater Level Network"
"RTN","282406081093602","Real-Time Groundwater Level Network"
"RTN","282434081283102","Real-Time Groundwater Level Network"
"RTN","282528081340901","Real-Time Groundwater Level Network"
"RTN","282531081082202","Real-Time Groundwater Level Network"
"RTN","282531081095701","Real-Time Groundwater Level Network"
"RTN","282532081075601","Real-Time Groundwater Level Network"
"RTN","282623081153801","Real-Time Groundwater Level Network"
"RTN","282738081341401","Real-Time Groundwater Level Network"
"RTN","282835081305201","Real-Time Groundwater Level Network"
"RTN","283154082313701","Real-Time Groundwater Level Network"
"RTN","283249081053201","Real-Time Groundwater Level Network"
"RTN","283249081053203","Real-Time Groundwater Level Network"
"RTN","284551082345301","Real-Time Groundwater Level Network"
"RTN","291100082010003","Real-Time Groundwater Level Network"
"RTN","291105081592601","Real-Time Groundwater Level Network"
"RTN","291442081384201","Real-Time Groundwater Level Network"
"RTN","292338095063601","Real-Time Groundwater Level Network"
"RTN","292618099165901","Real-Time Groundwater Level Network"
"RTN","292628099401401","Real-Time Groundwater Level Network"
