NetCode,site_no,NetName
"SPR","01569460 ","Active Spring Monitoring Sites"
"SPR","01632802 ","Active Spring Monitoring Sites"
"SPR","01632835 ","Active Spring Monitoring Sites"
"SPR","0163285551 ","Active Spring Monitoring Sites"
"SPR","02234991 ","Active Spring Monitoring Sites"
"SPR","02235500 ","Active Spring Monitoring Sites"
"SPR","02236160 ","Active Spring Monitoring Sites"
"SPR","02299260 ","Active Spring Monitoring Sites"
"SPR","02301600 ","Active Spring Monitoring Sites"
"SPR","02301602 ","Active Spring Monitoring Sites"
"SPR","02302000 ","Active Spring Monitoring Sites"
"SPR","02306000 ","Active Spring Monitoring Sites"
"SPR","02310678 ","Active Spring Monitoring Sites"
"SPR","02310688 ","Active Spring Monitoring Sites"
"SPR","02312764 ","Active Spring Monitoring Sites"
"SPR","02315503 ","Active Spring Monitoring Sites"
"SPR","02315600 ","Active Spring Monitoring Sites"
"SPR","02319302 ","Active Spring Monitoring Sites"
"SPR","02319498 ","Active Spring Monitoring Sites"
"SPR","02319502 ","Active Spring Monitoring Sites"
"SPR","02319520 ","Active Spring Monitoring Sites"
"SPR","02319950 ","Active Spring Monitoring Sites"
"SPR","02320250 ","Active Spring Monitoring Sites"
"SPR","02322688 ","Active Spring Monitoring Sites"
"SPR","02323502 ","Active Spring Monitoring Sites"
"SPR","02323505 ","Active Spring Monitoring Sites"
"SPR","02323566 ","Active Spring Monitoring Sites"
"SPR","034973195","Active Spring Monitoring Sites"
"SPR","03574975 ","Active Spring Monitoring Sites"
"SPR","03578490 ","Active Spring Monitoring Sites"
"SPR","03578491 ","Active Spring Monitoring Sites"
"SPR","03578492 ","Active Spring Monitoring Sites"
"SPR","03578495 ","Active Spring Monitoring Sites"
"SPR","035785001","Active Spring Monitoring Sites"
"SPR","035785004","Active Spring Monitoring Sites"
"SPR","05426350 ","Active Spring Monitoring Sites"
"SPR","05426380 ","Active Spring Monitoring Sites"
"SPR","06923500 ","Active Spring Monitoring Sites"
"SPR","07067500 ","Active Spring Monitoring Sites"
"SPR","07071000 ","Active Spring Monitoring Sites"
"SPR","07329849 ","Active Spring Monitoring Sites"
"SPR","07334238 ","Active Spring Monitoring Sites"
"SPR","08104055 ","Active Spring Monitoring Sites"
"SPR","08129500 ","Active Spring Monitoring Sites"
"SPR","08143900 ","Active Spring Monitoring Sites"
"SPR","08146500 ","Active Spring Monitoring Sites"
"SPR","08149500 ","Active Spring Monitoring Sites"
"SPR","08151850 ","Active Spring Monitoring Sites"
"SPR","08152710 ","Active Spring Monitoring Sites"
"SPR","08152715 ","Active Spring Monitoring Sites"
"SPR","08155500 ","Active Spring Monitoring Sites"
"SPR","08168000 ","Active Spring Monitoring Sites"
"SPR","08168710 ","Active Spring Monitoring Sites"
"SPR","08170990 ","Active Spring Monitoring Sites"
"SPR","08177818 ","Active Spring Monitoring Sites"
"SPR","08178090 ","Active Spring Monitoring Sites"
"SPR","08425500 ","Active Spring Monitoring Sites"
"SPR","08427000 ","Active Spring Monitoring Sites"
"SPR","08427500 ","Active Spring Monitoring Sites"
"SPR","08480594 ","Active Spring Monitoring Sites"
"SPR","09419550 ","Active Spring Monitoring Sites"
"SPR","10172860 ","Active Spring Monitoring Sites"
"SPR","11503000 ","Active Spring Monitoring Sites"
"SPR","13089600 ","Active Spring Monitoring Sites"
"SPR","13090100 ","Active Spring Monitoring Sites"
"SPR","13093400 ","Active Spring Monitoring Sites"
"SPR","13094500 ","Active Spring Monitoring Sites"
"SPR","13095175 ","Active Spring Monitoring Sites"
"SPR","13095200 ","Active Spring Monitoring Sites"
"SPR","13095500 ","Active Spring Monitoring Sites"
"SPR","13132600 ","Active Spring Monitoring Sites"
"SPR","13132790 ","Active Spring Monitoring Sites"
"SPR","13132800 ","Active Spring Monitoring Sites"
"SPR","13134600 ","Active Spring Monitoring Sites"
"SPR","13135100 ","Active Spring Monitoring Sites"
"SPR","280311082274200","Active Spring Monitoring Sites"
"SPR","300718083075701","Active Spring Monitoring Sites"
"SPR","313228110092701","Active Spring Monitoring Sites"
"SPR","313425110102301","Active Spring Monitoring Sites"
"SPR","313456110081901","Active Spring Monitoring Sites"
"SPR","313624110101401","Active Spring Monitoring Sites"
"SPR","345511110313201","Active Spring Monitoring Sites"
"SPR","345519110314201","Active Spring Monitoring Sites"
"SPR","345653110394001","Active Spring Monitoring Sites"
"SPR","345811110383001","Active Spring Monitoring Sites"
"SPR","345812110383101","Active Spring Monitoring Sites"
"SPR","355906115492601","Active Spring Monitoring Sites"
"SPR","360310115303201","Active Spring Monitoring Sites"
"SPR","360956115432801","Active Spring Monitoring Sites"
"SPR","361804115292501","Active Spring Monitoring Sites"
"SPR","362026115300501","Active Spring Monitoring Sites"
"SPR","362030115293501","Active Spring Monitoring Sites"
"SPR","362252116425301","Active Spring Monitoring Sites"
"SPR","362727116013501","Active Spring Monitoring Sites"
"SPR","362910114280401","Active Spring Monitoring Sites"
"SPR","364235114425201","Active Spring Monitoring Sites"
"SPR","364235114425301","Active Spring Monitoring Sites"
"SPR","364236114424301","Active Spring Monitoring Sites"
"SPR","364236114425401","Active Spring Monitoring Sites"
"SPR","364237114424402","Active Spring Monitoring Sites"
"SPR","364237114424501","Active Spring Monitoring Sites"
"SPR","364237114425401","Active Spring Monitoring Sites"
"SPR","364238114424601","Active Spring Monitoring Sites"
"SPR","364327114430801","Active Spring Monitoring Sites"
"SPR","373818118513301","Active Spring Monitoring Sites"
"SPR","373822118514401","Active Spring Monitoring Sites"
"SPR","373829118505801","Active Spring Monitoring Sites"
"SPR","374827114225101","Active Spring Monitoring Sites"
"SPR","382517115012001","Active Spring Monitoring Sites"
"SPR","382522115012001","Active Spring Monitoring Sites"
"SPR","382526115011401","Active Spring Monitoring Sites"
"SPR","382624115004001","Active Spring Monitoring Sites"
"SPR","383540115081801","Active Spring Monitoring Sites"
"SPR","385158115000401","Active Spring Monitoring Sites"
"SPR","385507114574801","Active Spring Monitoring Sites"
"SPR","385530115044601","Active Spring Monitoring Sites"
"SPR","385539115045702","Active Spring Monitoring Sites"
"SPR","401727105400000","Active Spring Monitoring Sites"
"SPR","403835112171801","Active Spring Monitoring Sites"
"SPR","412147100055301","Active Spring Monitoring Sites"
"SPR","412542100125301","Active Spring Monitoring Sites"
"SPR","434655103181701","Active Spring Monitoring Sites"
