NetCode,site_no,NetName
"TGN","350406089444401","Tennessee Groundwater Network"
"TGN","350506089483101","Tennessee Groundwater Network"
"TGN","350735089593300","Tennessee Groundwater Network"
"TGN","350750085045802","Tennessee Groundwater Network"
"TGN","350857089591401","Tennessee Groundwater Network"
"TGN","350900089482300","Tennessee Groundwater Network"
"TGN","351111089512501","Tennessee Groundwater Network"
"TGN","351115085025001","Tennessee Groundwater Network"
"TGN","351146085122701","Tennessee Groundwater Network"
"TGN","351248085131601","Tennessee Groundwater Network"
"TGN","351428085003600","Tennessee Groundwater Network"
"TGN","352226089330101","Tennessee Groundwater Network"
"TGN","352226089330102","Tennessee Groundwater Network"
"TGN","352515086011702","Tennessee Groundwater Network"
"TGN","353839089493500","Tennessee Groundwater Network"
"TGN","353922083345600","Tennessee Groundwater Network"
"TGN","360521085432600","Tennessee Groundwater Network"
"TGN","362500089281101","Tennessee Groundwater Network"
