NetCode,site_no,NetName
"CGW","410443073414101","Connecticut Groundwater Network"
"CGW","410515073415901","Connecticut Groundwater Network"
"CGW","410628073413301","Connecticut Groundwater Network"
"CGW","411058073182001","Connecticut Groundwater Network"
"CGW","411103073181301","Connecticut Groundwater Network"
"CGW","411118073175801","Connecticut Groundwater Network"
"CGW","411124073172201","Connecticut Groundwater Network"
"CGW","411256073153101","Connecticut Groundwater Network"
"CGW","411735072315001","Connecticut Groundwater Network"
"CGW","411826072322401","Connecticut Groundwater Network"
"CGW","411832072325501","Connecticut Groundwater Network"
"CGW","412013072030601","Connecticut Groundwater Network"
"CGW","412307072515201","Connecticut Groundwater Network"
"CGW","412417072541901","Connecticut Groundwater Network"
"CGW","412417072541902","Connecticut Groundwater Network"
"CGW","412423072542801","Connecticut Groundwater Network"
"CGW","412429073165101","Connecticut Groundwater Network"
"CGW","412541072542001","Connecticut Groundwater Network"
"CGW","412546072541701","Connecticut Groundwater Network"
"CGW","412546072541702","Connecticut Groundwater Network"
"CGW","412746071510601","Connecticut Groundwater Network"
"CGW","412809072420701","Connecticut Groundwater Network"
"CGW","412824072173301","Connecticut Groundwater Network"
"CGW","412825072410501","Connecticut Groundwater Network"
"CGW","412916073121701","Connecticut Groundwater Network"
"CGW","412931071514201","Connecticut Groundwater Network"
"CGW","412935073122701","Connecticut Groundwater Network"
"CGW","412954073125201","Connecticut Groundwater Network"
"CGW","413002073131001","Connecticut Groundwater Network"
"CGW","413007073250501","Connecticut Groundwater Network"
"CGW","413033072432001","Connecticut Groundwater Network"
"CGW","413134073021701","Connecticut Groundwater Network"
"CGW","413202073122401","Connecticut Groundwater Network"
"CGW","413245072584201","Connecticut Groundwater Network"
"CGW","413254072335501","Connecticut Groundwater Network"
"CGW","413457072252201","Connecticut Groundwater Network"
"CGW","413518072264501","Connecticut Groundwater Network"
"CGW","413535072253701","Connecticut Groundwater Network"
"CGW","413554072270201","Connecticut Groundwater Network"
"CGW","414054071552001","Connecticut Groundwater Network"
"CGW","414237072034401","Connecticut Groundwater Network"
"CGW","414240072032201","Connecticut Groundwater Network"
"CGW","414240072032202","Connecticut Groundwater Network"
"CGW","414240072033201","Connecticut Groundwater Network"
"CGW","414243072040501","Connecticut Groundwater Network"
"CGW","414548072114501","Connecticut Groundwater Network"
"CGW","414615072581601","Connecticut Groundwater Network"
"CGW","414649072574401","Connecticut Groundwater Network"
"CGW","414704072580501","Connecticut Groundwater Network"
"CGW","414741072134501","Connecticut Groundwater Network"
"CGW","414814072183101","Connecticut Groundwater Network"
"CGW","414815072183401","Connecticut Groundwater Network"
"CGW","414825072185601","Connecticut Groundwater Network"
"CGW","414825072185602","Connecticut Groundwater Network"
"CGW","414831072173002","Connecticut Groundwater Network"
"CGW","414833072190301","Connecticut Groundwater Network"
"CGW","414843072182601","Connecticut Groundwater Network"
"CGW","414844072182701","Connecticut Groundwater Network"
"CGW","414910072372101","Connecticut Groundwater Network"
"CGW","415312072280201","Connecticut Groundwater Network"
"CGW","415450072332201","Connecticut Groundwater Network"
"CGW","415458072291901","Connecticut Groundwater Network"
"CGW","415559073253401","Connecticut Groundwater Network"
"CGW","415640072275801","Connecticut Groundwater Network"
"CGW","415643072502201","Connecticut Groundwater Network"
"CGW","415647072495901","Connecticut Groundwater Network"
"CGW","415649072494801","Connecticut Groundwater Network"
"CGW","415925073252001","Connecticut Groundwater Network"
"CGW","415956073241501","Connecticut Groundwater Network"
"CGW","420125073193001","Connecticut Groundwater Network"
