NetCode,site_no,NetName
"CWN","342440080443900","Catawba-Wateree Groundwater Network"
"CWN","342440080443901","Catawba-Wateree Groundwater Network"
"CWN","344333080503600","Catawba-Wateree Groundwater Network"
"CWN","344333080503601","Catawba-Wateree Groundwater Network"
"CWN","345609080415102","Catawba-Wateree Groundwater Network"
"CWN","345609080415103","Catawba-Wateree Groundwater Network"
"CWN","345830081033100","Catawba-Wateree Groundwater Network"
"CWN","345830081033101","Catawba-Wateree Groundwater Network"
"CWN","352012081154301","Catawba-Wateree Groundwater Network"
"CWN","352012081154302","Catawba-Wateree Groundwater Network"
"CWN","353135080524201","Catawba-Wateree Groundwater Network"
"CWN","353135080524202","Catawba-Wateree Groundwater Network"
"CWN","353135080524203","Catawba-Wateree Groundwater Network"
"CWN","354133082042201","Catawba-Wateree Groundwater Network"
"CWN","354133082042203","Catawba-Wateree Groundwater Network"
"CWN","354302081433201","Catawba-Wateree Groundwater Network"
"CWN","354302081433202","Catawba-Wateree Groundwater Network"
"CWN","354616081085101","Catawba-Wateree Groundwater Network"
"CWN","354616081085102","Catawba-Wateree Groundwater Network"
"CWN","355031081243202","Catawba-Wateree Groundwater Network"
"CWN","355031081243203","Catawba-Wateree Groundwater Network"
