NetCode,site_no,NetName
"GCN","304313081330001","Georgia Continuous Groundwater Level Networks"
"GCN","304406081330502","Georgia Continuous Groundwater Level Networks"
"GCN","304406081330503","Georgia Continuous Groundwater Level Networks"
"GCN","304406081330504","Georgia Continuous Groundwater Level Networks"
"GCN","304406081330505","Georgia Continuous Groundwater Level Networks"
"GCN","304712084395801","Georgia Continuous Groundwater Level Networks"
"GCN","304756081311101","Georgia Continuous Groundwater Level Networks"
"GCN","304806084404101","Georgia Continuous Groundwater Level Networks"
"GCN","304942082213801","Georgia Continuous Groundwater Level Networks"
"GCN","304949083165301","Georgia Continuous Groundwater Level Networks"
"GCN","305235084125101","Georgia Continuous Groundwater Level Networks"
"GCN","305356084534601","Georgia Continuous Groundwater Level Networks"
"GCN","305736084355801","Georgia Continuous Groundwater Level Networks"
"GCN","310418081244701","Georgia Continuous Groundwater Level Networks"
"GCN","310427084591101","Georgia Continuous Groundwater Level Networks"
"GCN","310428084310501","Georgia Continuous Groundwater Level Networks"
"GCN","310428084310503","Georgia Continuous Groundwater Level Networks"
"GCN","310507084262201","Georgia Continuous Groundwater Level Networks"
"GCN","310602081423601","Georgia Continuous Groundwater Level Networks"
"GCN","310651084404501","Georgia Continuous Groundwater Level Networks"
"GCN","310706082155101","Georgia Continuous Groundwater Level Networks"
"GCN","310810081292801","Georgia Continuous Groundwater Level Networks"
"GCN","310810081292802","Georgia Continuous Groundwater Level Networks"
"GCN","310810081323501","Georgia Continuous Groundwater Level Networks"
"GCN","310813083260301","Georgia Continuous Groundwater Level Networks"
"GCN","310818081293701","Georgia Continuous Groundwater Level Networks"
"GCN","310818081294201","Georgia Continuous Groundwater Level Networks"
"GCN","310835081294501","Georgia Continuous Groundwater Level Networks"
"GCN","310835081294502","Georgia Continuous Groundwater Level Networks"
"GCN","310901081284401","Georgia Continuous Groundwater Level Networks"
"GCN","310901081284402","Georgia Continuous Groundwater Level Networks"
"GCN","310902081284201","Georgia Continuous Groundwater Level Networks"
"GCN","310925081312201","Georgia Continuous Groundwater Level Networks"
"GCN","310925081312202","Georgia Continuous Groundwater Level Networks"
"GCN","310925081312203","Georgia Continuous Groundwater Level Networks"
"GCN","310931081291002","Georgia Continuous Groundwater Level Networks"
"GCN","310938081285301","Georgia Continuous Groundwater Level Networks"
"GCN","311007081301701","Georgia Continuous Groundwater Level Networks"
"GCN","311007081301702","Georgia Continuous Groundwater Level Networks"
"GCN","311009084495502","Georgia Continuous Groundwater Level Networks"
"GCN","311009084495503","Georgia Continuous Groundwater Level Networks"
"GCN","311022081304601","Georgia Continuous Groundwater Level Networks"
"GCN","311022081304602","Georgia Continuous Groundwater Level Networks"
"GCN","311028081285902","Georgia Continuous Groundwater Level Networks"
"GCN","311051081295501","Georgia Continuous Groundwater Level Networks"
"GCN","311400084295502","Georgia Continuous Groundwater Level Networks"
"GCN","311454081210503","Georgia Continuous Groundwater Level Networks"
"GCN","311456081210501","Georgia Continuous Groundwater Level Networks"
"GCN","311456081210503","Georgia Continuous Groundwater Level Networks"
"GCN","311456081210504","Georgia Continuous Groundwater Level Networks"
"GCN","311530081363901","Georgia Continuous Groundwater Level Networks"
"GCN","311530081363904","Georgia Continuous Groundwater Level Networks"
"GCN","311633081324001","Georgia Continuous Groundwater Level Networks"
