NetCode,site_no,NetName
"HCN","395609086064201","Hamilton County, Indiana Groundwater Network"
"HCN","395613086043301","Hamilton County, Indiana Groundwater Network"
"HCN","395627086042301","Hamilton County, Indiana Groundwater Network"
"HCN","395628086052901","Hamilton County, Indiana Groundwater Network"
"HCN","395629086053001","Hamilton County, Indiana Groundwater Network"
"HCN","395630086043001","Hamilton County, Indiana Groundwater Network"
"HCN","395651086040601","Hamilton County, Indiana Groundwater Network"
"HCN","395651086040602","Hamilton County, Indiana Groundwater Network"
"HCN","395709086040101","Hamilton County, Indiana Groundwater Network"
"HCN","395717086051801","Hamilton County, Indiana Groundwater Network"
"HCN","395749086042201","Hamilton County, Indiana Groundwater Network"
"HCN","395750086052101","Hamilton County, Indiana Groundwater Network"
"HCN","395759086041201","Hamilton County, Indiana Groundwater Network"
"HCN","395816086044901","Hamilton County, Indiana Groundwater Network"
"HCN","395817086040501","Hamilton County, Indiana Groundwater Network"
"HCN","395818086042101","Hamilton County, Indiana Groundwater Network"
"HCN","395830086044701","Hamilton County, Indiana Groundwater Network"
"HCN","395837086045701","Hamilton County, Indiana Groundwater Network"
"HCN","395843086031701","Hamilton County, Indiana Groundwater Network"
"HCN","395854086025401","Hamilton County, Indiana Groundwater Network"
"HCN","395858086025201","Hamilton County, Indiana Groundwater Network"
"HCN","395917086033401","Hamilton County, Indiana Groundwater Network"
"HCN","395917086034101","Hamilton County, Indiana Groundwater Network"
"HCN","395918086031901","Hamilton County, Indiana Groundwater Network"
"HCN","395919086015901","Hamilton County, Indiana Groundwater Network"
"HCN","395919086032101","Hamilton County, Indiana Groundwater Network"
"HCN","395923086023901","Hamilton County, Indiana Groundwater Network"
"HCN","395934086034601","Hamilton County, Indiana Groundwater Network"
"HCN","395937086033201","Hamilton County, Indiana Groundwater Network"
"HCN","395954086040001","Hamilton County, Indiana Groundwater Network"
"HCN","400000086023201","Hamilton County, Indiana Groundwater Network"
"HCN","400000086030301","Hamilton County, Indiana Groundwater Network"
