NetCode,site_no,NetName
"IDM","413328087202301","Indiana Department of Environmental Management Groundwater Network"
"IDM","413419087301701","Indiana Department of Environmental Management Groundwater Network"
"IDM","413435087291901","Indiana Department of Environmental Management Groundwater Network"
"IDM","413445087204701","Indiana Department of Environmental Management Groundwater Network"
"IDM","413503087193501","Indiana Department of Environmental Management Groundwater Network"
"IDM","413516087222301","Indiana Department of Environmental Management Groundwater Network"
"IDM","413527087254301","Indiana Department of Environmental Management Groundwater Network"
"IDM","413528087254701","Indiana Department of Environmental Management Groundwater Network"
"IDM","413544087233700","Indiana Department of Environmental Management Groundwater Network"
"IDM","413548087204001","Indiana Department of Environmental Management Groundwater Network"
"IDM","413557087283901","Indiana Department of Environmental Management Groundwater Network"
"IDM","413559087270301","Indiana Department of Environmental Management Groundwater Network"
"IDM","413617087191201","Indiana Department of Environmental Management Groundwater Network"
"IDM","413617087225201","Indiana Department of Environmental Management Groundwater Network"
"IDM","413617087225202","Indiana Department of Environmental Management Groundwater Network"
"IDM","413617087262001","Indiana Department of Environmental Management Groundwater Network"
"IDM","413620087204401","Indiana Department of Environmental Management Groundwater Network"
"IDM","413627087310500","Indiana Department of Environmental Management Groundwater Network"
"IDM","413629087192102","Indiana Department of Environmental Management Groundwater Network"
"IDM","413632087221900","Indiana Department of Environmental Management Groundwater Network"
"IDM","413646087122101","Indiana Department of Environmental Management Groundwater Network"
"IDM","413647087191901","Indiana Department of Environmental Management Groundwater Network"
"IDM","413647087282501","Indiana Department of Environmental Management Groundwater Network"
"IDM","413647087282502","Indiana Department of Environmental Management Groundwater Network"
"IDM","413650087262000","Indiana Department of Environmental Management Groundwater Network"
"IDM","413652087274901","Indiana Department of Environmental Management Groundwater Network"
"IDM","413654087274000","Indiana Department of Environmental Management Groundwater Network"
"IDM","413655087275202","Indiana Department of Environmental Management Groundwater Network"
"IDM","413702087123301","Indiana Department of Environmental Management Groundwater Network"
"IDM","413703087171501","Indiana Department of Environmental Management Groundwater Network"
"IDM","413703087171502","Indiana Department of Environmental Management Groundwater Network"
"IDM","413706087150701","Indiana Department of Environmental Management Groundwater Network"
"IDM","413706087170101","Indiana Department of Environmental Management Groundwater Network"
"IDM","413706087171901","Indiana Department of Environmental Management Groundwater Network"
"IDM","413706087171902","Indiana Department of Environmental Management Groundwater Network"
"IDM","413706087181800","Indiana Department of Environmental Management Groundwater Network"
"IDM","413716087232601","Indiana Department of Environmental Management Groundwater Network"
"IDM","413717087123501","Indiana Department of Environmental Management Groundwater Network"
"IDM","413719087304302","Indiana Department of Environmental Management Groundwater Network"
"IDM","413720087304202","Indiana Department of Environmental Management Groundwater Network"
"IDM","413722087225501","Indiana Department of Environmental Management Groundwater Network"
"IDM","413722087304101","Indiana Department of Environmental Management Groundwater Network"
"IDM","413732087255801","Indiana Department of Environmental Management Groundwater Network"
"IDM","413734087225101","Indiana Department of Environmental Management Groundwater Network"
"IDM","413744087223901","Indiana Department of Environmental Management Groundwater Network"
"IDM","413758087281001","Indiana Department of Environmental Management Groundwater Network"
"IDM","413758087281401","Indiana Department of Environmental Management Groundwater Network"
"IDM","413758087290702","Indiana Department of Environmental Management Groundwater Network"
"IDM","413800087285401","Indiana Department of Environmental Management Groundwater Network"
"IDM","413804087291102","Indiana Department of Environmental Management Groundwater Network"
"IDM","413808087270501","Indiana Department of Environmental Management Groundwater Network"
"IDM","413810087305201","Indiana Department of Environmental Management Groundwater Network"
"IDM","413812087270201","Indiana Department of Environmental Management Groundwater Network"
"IDM","413828087251301","Indiana Department of Environmental Management Groundwater Network"
"IDM","413828087251302","Indiana Department of Environmental Management Groundwater Network"
"IDM","413830087260000","Indiana Department of Environmental Management Groundwater Network"
"IDM","413835087245101","Indiana Department of Environmental Management Groundwater Network"
"IDM","413844087310401","Indiana Department of Environmental Management Groundwater Network"
"IDM","413907087275901","Indiana Department of Environmental Management Groundwater Network"
"IDM","413938087304301","Indiana Department of Environmental Management Groundwater Network"
"IDM","413938087304302","Indiana Department of Environmental Management Groundwater Network"
"IDM","413941087292600","Indiana Department of Environmental Management Groundwater Network"
"IDM","413951087301901","Indiana Department of Environmental Management Groundwater Network"
"IDM","413951087301902","Indiana Department of Environmental Management Groundwater Network"
"IDM","413951087301903","Indiana Department of Environmental Management Groundwater Network"
"IDM","414013087303300","Indiana Department of Environmental Management Groundwater Network"
"IDM","414016087303701","Indiana Department of Environmental Management Groundwater Network"
"IDM","414052087291201","Indiana Department of Environmental Management Groundwater Network"
"IDM","414120087304701","Indiana Department of Environmental Management Groundwater Network"
"IDM","414144087304101","Indiana Department of Environmental Management Groundwater Network"
