NetCode,site_no,NetName
"IDV","375406087105401","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","375750087404201","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","375750087404202","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","383012086124501","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","383403085352601","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","383655086504601","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","383946086475701","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","384047087142701","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","384047087142702","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","384745086354301","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","385542086005601","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","385601085365701","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","390758087363301","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","390950085553501","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","391035085560401","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","392527085005201","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","392612086230001","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","393522085555401","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","393746086222901","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","393855086120701","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","393950086124701","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","394510087105001","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","394732086115501","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","395107086021301","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","395159086253101","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","395240086273301","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","395332085594501","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","400104086023101","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","400131085504301","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","401143086394501","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","401151086030201","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","402734087033401","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","402848085340201","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","403948085414601","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","404006085244801","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","404603086021801","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","404606086023201","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","404858085284301","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","405520085310801","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","405959087282901","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","405959087282902","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","410249087011201","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","410428085171701","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","410428087231502","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","410809087580801","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","410917087285801","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","411038087284701","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","411042085035201","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","411043085035201","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","411342086365601","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","411856085455801","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","412012085594301","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","412018085483401","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","413139086341401","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","413141084544201","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","413426085181801","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","413434086434701","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","414149086183101","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","414202086283801","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","414325084552401","Indiana Department of Natural Resources Voluntary Groundwater Network"
"IDV","414431085313001","Indiana Department of Natural Resources Voluntary Groundwater Network"
