NetCode,site_no,NetName
"LGR","382427107491401","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","382656107500701","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","382715107514501","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","382736107491201","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","382824107494801","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","382859107531901","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","382917107483101","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","382947107465801","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","382954107515101","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383051107525501","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383156107571701","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383257107545801","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383315107525201","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383401107563001","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383405107564701","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383510107540801","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383513107542601","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383520107565901","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383626107581501","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383632107560201","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383730107570501","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383844107572801","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","383852107583301","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","384110107591801","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","384240108000701","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","384300107561801","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","384306108013801","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","384329108031301","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","384428107573901","Colorado Shallow Groundwater East of Uncompahgre River"
"LGR","384559107565201","Colorado Shallow Groundwater East of Uncompahgre River"
