NetCode,site_no,NetName
"LTD","295652090020101","Louisiana Department of Transportation and Development Level Network"
"LTD","295739090094601","Louisiana Department of Transportation and Development Level Network"
"LTD","300024090433501","Louisiana Department of Transportation and Development Level Network"
"LTD","300027090013201","Louisiana Department of Transportation and Development Level Network"
"LTD","300125092382504","Louisiana Department of Transportation and Development Level Network"
"LTD","300210090141501","Louisiana Department of Transportation and Development Level Network"
"LTD","300222090144601","Louisiana Department of Transportation and Development Level Network"
"LTD","300223090144601","Louisiana Department of Transportation and Development Level Network"
"LTD","300234090390301","Louisiana Department of Transportation and Development Level Network"
"LTD","300445090520301","Louisiana Department of Transportation and Development Level Network"
"LTD","300525089464001","Louisiana Department of Transportation and Development Level Network"
"LTD","300947091472102","Louisiana Department of Transportation and Development Level Network"
"LTD","300959089441901","Louisiana Department of Transportation and Development Level Network"
"LTD","301046092214501","Louisiana Department of Transportation and Development Level Network"
"LTD","301213093191701","Louisiana Department of Transportation and Development Level Network"
"LTD","301227091101301","Louisiana Department of Transportation and Development Level Network"
"LTD","301300092584503","Louisiana Department of Transportation and Development Level Network"
"LTD","301356092462701","Louisiana Department of Transportation and Development Level Network"
"LTD","301426092000601","Louisiana Department of Transportation and Development Level Network"
"LTD","301536089470501","Louisiana Department of Transportation and Development Level Network"
"LTD","301832092234503","Louisiana Department of Transportation and Development Level Network"
"LTD","301838089485002","Louisiana Department of Transportation and Development Level Network"
"LTD","301920089560801","Louisiana Department of Transportation and Development Level Network"
"LTD","301944093170401","Louisiana Department of Transportation and Development Level Network"
"LTD","301944093170402","Louisiana Department of Transportation and Development Level Network"
"LTD","301947089434001","Louisiana Department of Transportation and Development Level Network"
"LTD","302052090010201","Louisiana Department of Transportation and Development Level Network"
"LTD","302154090033701","Louisiana Department of Transportation and Development Level Network"
"LTD","302321089535201","Louisiana Department of Transportation and Development Level Network"
"LTD","302450090355601","Louisiana Department of Transportation and Development Level Network"
"LTD","302519090311401","Louisiana Department of Transportation and Development Level Network"
"LTD","302724090565801","Louisiana Department of Transportation and Development Level Network"
"LTD","302820090192901","Louisiana Department of Transportation and Development Level Network"
"LTD","302941090032001","Louisiana Department of Transportation and Development Level Network"
"LTD","302956090504601","Louisiana Department of Transportation and Development Level Network"
"LTD","303004092541101","Louisiana Department of Transportation and Development Level Network"
"LTD","303034090380301","Louisiana Department of Transportation and Development Level Network"
"LTD","303104090335901","Louisiana Department of Transportation and Development Level Network"
"LTD","303118092493901","Louisiana Department of Transportation and Development Level Network"
"LTD","303247090544601","Louisiana Department of Transportation and Development Level Network"
"LTD","303420090221701","Louisiana Department of Transportation and Development Level Network"
"LTD","303644093020401","Louisiana Department of Transportation and Development Level Network"
"LTD","303700090030201","Louisiana Department of Transportation and Development Level Network"
"LTD","303747090374801","Louisiana Department of Transportation and Development Level Network"
"LTD","303835090182701","Louisiana Department of Transportation and Development Level Network"
"LTD","303900093250401","Louisiana Department of Transportation and Development Level Network"
"LTD","303912090542701","Louisiana Department of Transportation and Development Level Network"
"LTD","304107089523401","Louisiana Department of Transportation and Development Level Network"
"LTD","304116092083601","Louisiana Department of Transportation and Development Level Network"
"LTD","304120092263001","Louisiana Department of Transportation and Development Level Network"
"LTD","304312091083101","Louisiana Department of Transportation and Development Level Network"
"LTD","304337092504001","Louisiana Department of Transportation and Development Level Network"
"LTD","304419090361701","Louisiana Department of Transportation and Development Level Network"
"LTD","304548093320501","Louisiana Department of Transportation and Development Level Network"
"LTD","304550090304101","Louisiana Department of Transportation and Development Level Network"
"LTD","304612089512401","Louisiana Department of Transportation and Development Level Network"
"LTD","304652089512201","Louisiana Department of Transportation and Development Level Network"
"LTD","304702092404301","Louisiana Department of Transportation and Development Level Network"
"LTD","304707090173301","Louisiana Department of Transportation and Development Level Network"
"LTD","304911092390001","Louisiana Department of Transportation and Development Level Network"
"LTD","304959091093001","Louisiana Department of Transportation and Development Level Network"
"LTD","305035093305402","Louisiana Department of Transportation and Development Level Network"
"LTD","305037093090404","Louisiana Department of Transportation and Development Level Network"
"LTD","305044093014501","Louisiana Department of Transportation and Development Level Network"
