NetCode,site_no,NetName
"LWL","175858066100200","Below Normal Groundwater Levels"
"LWL","175947066130601","Below Normal Groundwater Levels"
"LWL","175950066354200","Below Normal Groundwater Levels"
"LWL","180052066471000","Below Normal Groundwater Levels"
"LWL","180103067042500","Below Normal Groundwater Levels"
"LWL","180132067033800","Below Normal Groundwater Levels"
"LWL","182406066034700","Below Normal Groundwater Levels"
"LWL","182451066080200","Below Normal Groundwater Levels"
"LWL","182546066271200","Below Normal Groundwater Levels"
"LWL","182603066333601","Below Normal Groundwater Levels"
"LWL","211832157515501","Below Normal Groundwater Levels"
"LWL","211832157515502","Below Normal Groundwater Levels"
"LWL","212927158014801","Below Normal Groundwater Levels"
"LWL","215522159342601","Below Normal Groundwater Levels"
"LWL","215607159344301","Below Normal Groundwater Levels"
"LWL","215958159214301","Below Normal Groundwater Levels"
"LWL","252312080320301","Below Normal Groundwater Levels"
"LWL","252332080300501","Below Normal Groundwater Levels"
"LWL","252425080320001","Below Normal Groundwater Levels"
"LWL","252502080253901","Below Normal Groundwater Levels"
"LWL","252506080300601","Below Normal Groundwater Levels"
"LWL","252612080300701","Below Normal Groundwater Levels"
"LWL","252619080310201","Below Normal Groundwater Levels"
"LWL","252718080264901","Below Normal Groundwater Levels"
"LWL","252928080332401","Below Normal Groundwater Levels"
"LWL","253029080295601","Below Normal Groundwater Levels"
"LWL","253233080301001","Below Normal Groundwater Levels"
"LWL","253334080213601","Below Normal Groundwater Levels"
"LWL","253632080321101","Below Normal Groundwater Levels"
"LWL","253708080304201","Below Normal Groundwater Levels"
"LWL","253718080192301","Below Normal Groundwater Levels"
"LWL","253902080202501","Below Normal Groundwater Levels"
"LWL","253937080304001","Below Normal Groundwater Levels"
"LWL","254005080171601","Below Normal Groundwater Levels"
"LWL","254022080263601","Below Normal Groundwater Levels"
"LWL","254106080174601","Below Normal Groundwater Levels"
"LWL","254108080170601","Below Normal Groundwater Levels"
"LWL","254111080272501","Below Normal Groundwater Levels"
"LWL","254130080234501","Below Normal Groundwater Levels"
"LWL","254152080274501","Below Normal Groundwater Levels"
"LWL","254152080282101","Below Normal Groundwater Levels"
"LWL","254152080282601","Below Normal Groundwater Levels"
"LWL","254201080173001","Below Normal Groundwater Levels"
"LWL","254213080281501","Below Normal Groundwater Levels"
"LWL","254218080241801","Below Normal Groundwater Levels"
"LWL","254334080284401","Below Normal Groundwater Levels"
"LWL","254432080240401","Below Normal Groundwater Levels"
"LWL","254720080253002","Below Normal Groundwater Levels"
"LWL","254940080172001","Below Normal Groundwater Levels"
"LWL","254946080172601","Below Normal Groundwater Levels"
"LWL","254950080171202","Below Normal Groundwater Levels"
"LWL","255035080255401","Below Normal Groundwater Levels"
