NetCode,site_no,NetName
"MSV","382517109273601","Moab-Spanish Valley Groundwater Network"
"MSV","382618109213201","Moab-Spanish Valley Groundwater Network"
"MSV","382849109255901","Moab-Spanish Valley Groundwater Network"
"MSV","382913109273401","Moab-Spanish Valley Groundwater Network"
"MSV","382925109260401","Moab-Spanish Valley Groundwater Network"
"MSV","382936109280501","Moab-Spanish Valley Groundwater Network"
"MSV","383030109274901","Moab-Spanish Valley Groundwater Network"
"MSV","383109109285501","Moab-Spanish Valley Groundwater Network"
"MSV","383118109283301","Moab-Spanish Valley Groundwater Network"
"MSV","383129109284001","Moab-Spanish Valley Groundwater Network"
"MSV","383133109293901","Moab-Spanish Valley Groundwater Network"
"MSV","383141109304401","Moab-Spanish Valley Groundwater Network"
"MSV","383158109282401","Moab-Spanish Valley Groundwater Network"
"MSV","383201109295301","Moab-Spanish Valley Groundwater Network"
"MSV","383202109285101","Moab-Spanish Valley Groundwater Network"
"MSV","383215109285701","Moab-Spanish Valley Groundwater Network"
"MSV","383232109310901","Moab-Spanish Valley Groundwater Network"
"MSV","383251109302901","Moab-Spanish Valley Groundwater Network"
"MSV","383340109314301","Moab-Spanish Valley Groundwater Network"
"MSV","383405109324201","Moab-Spanish Valley Groundwater Network"
"MSV","383422109341601","Moab-Spanish Valley Groundwater Network"
"MSV","383423109330501","Moab-Spanish Valley Groundwater Network"
"MSV","383424109341201","Moab-Spanish Valley Groundwater Network"
"MSV","383446109342701","Moab-Spanish Valley Groundwater Network"
"MSV","383539109340901","Moab-Spanish Valley Groundwater Network"
"MSV","384247109355501","Moab-Spanish Valley Groundwater Network"
