NetCode,site_no,NetName
"NEN","410443073414101","New England Groundwater Network"
"NEN","410515073415901","New England Groundwater Network"
"NEN","410628073413301","New England Groundwater Network"
"NEN","410947071344803","New England Groundwater Network"
"NEN","411058073182001","New England Groundwater Network"
"NEN","411103073181301","New England Groundwater Network"
"NEN","411118073175801","New England Groundwater Network"
"NEN","411124073172201","New England Groundwater Network"
"NEN","411256073153101","New England Groundwater Network"
"NEN","411555070021901","New England Groundwater Network"
"NEN","411735072315001","New England Groundwater Network"
"NEN","411826072322401","New England Groundwater Network"
"NEN","411832072325501","New England Groundwater Network"
"NEN","412013072030601","New England Groundwater Network"
"NEN","412154071462901","New England Groundwater Network"
"NEN","412214071394001","New England Groundwater Network"
"NEN","412307072515201","New England Groundwater Network"
"NEN","412346070353403","New England Groundwater Network"
"NEN","412417072541901","New England Groundwater Network"
"NEN","412417072541902","New England Groundwater Network"
"NEN","412423072542801","New England Groundwater Network"
"NEN","412424071423601","New England Groundwater Network"
"NEN","412429073165101","New England Groundwater Network"
"NEN","412434071422401","New England Groundwater Network"
"NEN","412541072542001","New England Groundwater Network"
"NEN","412546072541701","New England Groundwater Network"
"NEN","412546072541702","New England Groundwater Network"
"NEN","412718071415201","New England Groundwater Network"
"NEN","412746071510601","New England Groundwater Network"
"NEN","412809072420701","New England Groundwater Network"
"NEN","412824072173301","New England Groundwater Network"
"NEN","412825072410501","New England Groundwater Network"
"NEN","412844071422802","New England Groundwater Network"
"NEN","412916073121701","New England Groundwater Network"
"NEN","412918071321001","New England Groundwater Network"
"NEN","412931071514201","New England Groundwater Network"
"NEN","412932071374302","New England Groundwater Network"
"NEN","412935071355701","New England Groundwater Network"
"NEN","412935073122701","New England Groundwater Network"
"NEN","412954073125201","New England Groundwater Network"
"NEN","413002073131001","New England Groundwater Network"
"NEN","413007073250501","New England Groundwater Network"
"NEN","413033072432001","New England Groundwater Network"
"NEN","413126071455501","New England Groundwater Network"
"NEN","413134073021701","New England Groundwater Network"
"NEN","413135071314201","New England Groundwater Network"
"NEN","413148071281601","New England Groundwater Network"
"NEN","413202073122401","New England Groundwater Network"
"NEN","413220071115501","New England Groundwater Network"
"NEN","413245072584201","New England Groundwater Network"
"NEN","413252071323601","New England Groundwater Network"
"NEN","413254072335501","New England Groundwater Network"
"NEN","413325071152401","New England Groundwater Network"
"NEN","413358071433801","New England Groundwater Network"
"NEN","413400071363101","New England Groundwater Network"
"NEN","413423071431901","New England Groundwater Network"
"NEN","413457072252201","New England Groundwater Network"
"NEN","413505071452801","New England Groundwater Network"
"NEN","413518072264501","New England Groundwater Network"
"NEN","413525070291904","New England Groundwater Network"
"NEN","413535072253701","New England Groundwater Network"
