NetCode,site_no,NetName
"PAN","395341075102101","Philadelphia Area Groundwater Level Network"
"PAN","395353075151501","Philadelphia Area Groundwater Level Network"
"PAN","395408075104001","Philadelphia Area Groundwater Level Network"
"PAN","395416075150301","Philadelphia Area Groundwater Level Network"
"PAN","395459075140501","Philadelphia Area Groundwater Level Network"
"PAN","395611075091301","Philadelphia Area Groundwater Level Network"
"PAN","395656075104401","Philadelphia Area Groundwater Level Network"
"PAN","395705075135901","Philadelphia Area Groundwater Level Network"
"PAN","395849075134201","Philadelphia Area Groundwater Level Network"
"PAN","395942075144301","Philadelphia Area Groundwater Level Network"
"PAN","400001075040301","Philadelphia Area Groundwater Level Network"
"PAN","400016075102801","Philadelphia Area Groundwater Level Network"
"PAN","400038075094601","Philadelphia Area Groundwater Level Network"
"PAN","400055075122501","Philadelphia Area Groundwater Level Network"
"PAN","400132075031001","Philadelphia Area Groundwater Level Network"
"PAN","400211075093701","Philadelphia Area Groundwater Level Network"
"PAN","400217075142101","Philadelphia Area Groundwater Level Network"
"PAN","400229075104601","Philadelphia Area Groundwater Level Network"
"PAN","400308074592201","Philadelphia Area Groundwater Level Network"
"PAN","400311075101301","Philadelphia Area Groundwater Level Network"
"PAN","400327075152201","Philadelphia Area Groundwater Level Network"
"PAN","400424075104901","Philadelphia Area Groundwater Level Network"
"PAN","400512075033401","Philadelphia Area Groundwater Level Network"
"PAN","400516075033201","Philadelphia Area Groundwater Level Network"
"PAN","400527075042801","Philadelphia Area Groundwater Level Network"
"PAN","400527075042802","Philadelphia Area Groundwater Level Network"
"PAN","400644074590801","Philadelphia Area Groundwater Level Network"
