NetCode,site_no,NetName
"PIC","394540108191201","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","394540108191202","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","395136108210000","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","395136108210001","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","395136108210004","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","395255108154200","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","395310108050401","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","395458108325002","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","395755108211400","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","395755108211401","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","400045108131401","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","400218108170600","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","400218108170601","Colorado Piceance Groundwater Network, Rio Blanco County"
"PIC","400228108245400","Colorado Piceance Groundwater Network, Rio Blanco County"
