NetCode,site_no,NetName
"SCB","323242117062101","Southern California Basin Network"
"SCB","323242117062102","Southern California Basin Network"
"SCB","323242117062103","Southern California Basin Network"
"SCB","323242117062104","Southern California Basin Network"
"SCB","323242117062105","Southern California Basin Network"
"SCB","323313117033901","Southern California Basin Network"
"SCB","323313117033902","Southern California Basin Network"
"SCB","323313117033903","Southern California Basin Network"
"SCB","323313117033904","Southern California Basin Network"
"SCB","323313117033905","Southern California Basin Network"
"SCB","323332117043101","Southern California Basin Network"
"SCB","323332117043102","Southern California Basin Network"
"SCB","323332117043103","Southern California Basin Network"
"SCB","323332117043104","Southern California Basin Network"
"SCB","323332117043105","Southern California Basin Network"
"SCB","323527117050001","Southern California Basin Network"
"SCB","323527117050002","Southern California Basin Network"
"SCB","323527117050003","Southern California Basin Network"
"SCB","323527117050004","Southern California Basin Network"
"SCB","323527117050005","Southern California Basin Network"
"SCB","323915117055301","Southern California Basin Network"
"SCB","323915117055302","Southern California Basin Network"
"SCB","323915117055303","Southern California Basin Network"
"SCB","323915117055304","Southern California Basin Network"
"SCB","323915117055305","Southern California Basin Network"
"SCB","324055117064401","Southern California Basin Network"
"SCB","324055117064402","Southern California Basin Network"
"SCB","324055117064403","Southern California Basin Network"
"SCB","324055117064404","Southern California Basin Network"
"SCB","324055117064405","Southern California Basin Network"
"SCB","324116117050801","Southern California Basin Network"
"SCB","324116117050802","Southern California Basin Network"
"SCB","324116117050803","Southern California Basin Network"
"SCB","324116117050804","Southern California Basin Network"
"SCB","324116117050805","Southern California Basin Network"
"SCB","324641117071501","Southern California Basin Network"
"SCB","324641117071502","Southern California Basin Network"
"SCB","324641117071503","Southern California Basin Network"
"SCB","324641117071504","Southern California Basin Network"
"SCB","324641117071505","Southern California Basin Network"
"SCB","332819117070601","Southern California Basin Network"
"SCB","332819117070602","Southern California Basin Network"
"SCB","332819117070603","Southern California Basin Network"
"SCB","332819117070604","Southern California Basin Network"
"SCB","332819117070605","Southern California Basin Network"
"SCB","335408116544601","Southern California Basin Network"
"SCB","335411116444601","Southern California Basin Network"
